Train Accuracies:
0     0.691162
1     0.824495
2     0.844823
3     0.870581
4     0.880808
5     0.903914
6     0.895707
7     0.915025
8     0.915909
9     0.905934
10    0.925884
11    0.927904
12    0.926515
13    0.933712
14    0.922096
15    0.927904
16    0.942172
17    0.942929
18    0.938763
19    0.945707
20    0.936869
21    0.956944
22    0.948864
23    0.940278
24    0.937374
25    0.955808
26    0.951768
27    0.945833
28    0.958586
29    0.959975
30    0.952525
31    0.955808
32    0.951894
33    0.965530
34    0.965783
35    0.961364
36    0.961616
37    0.956313
38    0.964773
39    0.968561
40    0.952146
41    0.960227
42    0.964394
43    0.970707
44    0.956692
45    0.965404
46    0.958712
47    0.972475
48    0.975000
49    0.969949

Validation Accuracies:
0     0.856566
1     0.810101
2     0.817677
3     0.861111
4     0.901515
5     0.887879
6     0.922222
7     0.869697
8     0.922727
9     0.945960
10    0.903030
11    0.887374
12    0.936364
13    0.943939
14    0.755556
15    0.944444
16    0.958586
17    0.891414
18    0.931313
19    0.922727
20    0.966162
21    0.946465
22    0.932323
23    0.962121
24    0.925758
25    0.971212
26    0.928788
27    0.952020
28    0.975253
29    0.971717
30    0.926768
31    0.978788
32    0.956061
33    0.872222
34    0.971212
35    0.962121
36    0.930808
37    0.972222
38    0.980808
39    0.970202
40    0.911616
41    0.967677
42    0.937374
43    0.976263
44    0.970202
45    0.941919
46    0.936364
47    0.975253
48    0.973737
49    0.959596

Train Losses:
0     2.867678
1     0.444118
2     0.401046
3     0.332873
4     0.322962
5     0.269140
6     0.275991
7     0.232736
8     0.237274
9     0.266557
10    0.201250
11    0.206595
12    0.213834
13    0.189405
14    0.217052
15    0.205366
16    0.158666
17    0.170335
18    0.181177
19    0.156186
20    0.190484
21    0.122045
22    0.153748
23    0.170545
24    0.189450
25    0.129053
26    0.145453
27    0.157226
28    0.131500
29    0.127092
30    0.146520
31    0.128920
32    0.140868
33    0.117385
34    0.111018
35    0.124400
36    0.124337
37    0.126751
38    0.104799
39    0.092944
40    0.145903
41    0.111608
42    0.115397
43    0.088680
44    0.122698
45    0.108873
46    0.117022
47    0.084896
48    0.081594
49    0.091651

Validation Losses:
0     0.382395
1     0.477130
2     0.440029
3     0.334884
4     0.266056
5     0.307737
6     0.215888
7     0.363834
8     0.220436
9     0.141319
10    0.308617
11    0.276240
12    0.174350
13    0.157517
14    1.039084
15    0.148129
16    0.102705
17    0.302662
18    0.213346
19    0.245236
20    0.098117
21    0.190282
22    0.198266
23    0.160316
24    0.164417
25    0.101259
26    0.173040
27    0.142437
28    0.095121
29    0.111196
30    0.226573
31    0.076307
32    0.119787
33    0.409121
34    0.097694
35    0.127157
36    0.195627
37    0.087749
38    0.073757
39    0.095487
40    0.204551
41    0.099765
42    0.186230
43    0.085082
44    0.084763
45    0.213648
46    0.203968
47    0.079808
48    0.092850
49    0.114673

