Train Accuracies:
0     0.655429
1     0.800379
2     0.835480
3     0.857576
4     0.867424
5     0.891035
6     0.908207
7     0.905808
8     0.921212
9     0.914646
10    0.923737
11    0.933081
12    0.935227
13    0.934343
14    0.926768
15    0.948106
16    0.940278
17    0.948990
18    0.949747
19    0.952778
20    0.951894
21    0.945328
22    0.956187
23    0.959091
24    0.956692
25    0.946843
26    0.951768
27    0.968056
28    0.958081
29    0.962121
30    0.956439
31    0.966414
32    0.963005
33    0.959217
34    0.969318
35    0.948990
36    0.964141
37    0.970455
38    0.974747
39    0.962626
40    0.966414
41    0.974369
42    0.964773
43    0.973359
44    0.976010
45    0.972096
46    0.955051
47    0.970833
48    0.975126
49    0.977778

Validation Accuracies:
0     0.831818
1     0.854545
2     0.833333
3     0.878788
4     0.898485
5     0.933838
6     0.912626
7     0.939394
8     0.943939
9     0.904545
10    0.915152
11    0.939899
12    0.895960
13    0.942929
14    0.955556
15    0.938889
16    0.906566
17    0.951010
18    0.953535
19    0.901010
20    0.942424
21    0.978788
22    0.975253
23    0.898485
24    0.969697
25    0.965152
26    0.964646
27    0.983333
28    0.942929
29    0.906061
30    0.970202
31    0.969192
32    0.953030
33    0.952020
34    0.966667
35    0.957071
36    0.954545
37    0.933333
38    0.965657
39    0.962121
40    0.973737
41    0.955556
42    0.971717
43    0.961111
44    0.947980
45    0.961616
46    0.966667
47    0.960101
48    0.969697
49    0.976263

Train Losses:
0     2.592936
1     0.482967
2     0.428583
3     0.378896
4     0.341983
5     0.296276
6     0.253141
7     0.257439
8     0.223929
9     0.240188
10    0.214198
11    0.196073
12    0.181975
13    0.193481
14    0.212875
15    0.149540
16    0.171878
17    0.152116
18    0.154419
19    0.141240
20    0.150008
21    0.160267
22    0.128149
23    0.118496
24    0.127855
25    0.161359
26    0.154414
27    0.105858
28    0.129870
29    0.115210
30    0.120917
31    0.102549
32    0.105937
33    0.115168
34    0.095409
35    0.140967
36    0.114206
37    0.102569
38    0.080968
39    0.114298
40    0.090750
41    0.088174
42    0.104561
43    0.081166
44    0.075587
45    0.086215
46    0.147959
47    0.102701
48    0.074943
49    0.062345

Validation Losses:
0     0.432653
1     0.362684
2     0.414943
3     0.316071
4     0.273799
5     0.203396
6     0.224959
7     0.166331
8     0.161766
9     0.259644
10    0.237758
11    0.171830
12    0.269390
13    0.205597
14    0.136368
15    0.192624
16    0.223666
17    0.166001
18    0.117940
19    0.297915
20    0.188189
21    0.063038
22    0.095417
23    0.248625
24    0.093928
25    0.133917
26    0.088503
27    0.063871
28    0.167256
29    0.291371
30    0.087963
31    0.083845
32    0.137568
33    0.129586
34    0.097785
35    0.127634
36    0.146350
37    0.197013
38    0.086376
39    0.146776
40    0.065279
41    0.114824
42    0.085037
43    0.114520
44    0.201326
45    0.113062
46    0.123198
47    0.120567
48    0.086083
49    0.089500

