Train Accuracies:
0     0.664394
1     0.826389
2     0.868182
3     0.869949
4     0.890530
5     0.908460
6     0.919318
7     0.911616
8     0.916919
9     0.919697
10    0.923864
11    0.924495
12    0.934217
13    0.928788
14    0.926515
15    0.946338
16    0.934848
17    0.949874
18    0.947475
19    0.943561
20    0.939773
21    0.940152
22    0.938005
23    0.951768
24    0.953030
25    0.939141
26    0.957955
27    0.952778
28    0.958081
29    0.954672
30    0.952525
31    0.959091
32    0.965404
33    0.955808
34    0.964520
35    0.963384
36    0.962374
37    0.953030
38    0.959848
39    0.967677
40    0.965152
41    0.963889
42    0.960985
43    0.963889
44    0.970833
45    0.971717
46    0.963131
47    0.968813
48    0.967929
49    0.966035

Validation Accuracies:
0     0.776263
1     0.810606
2     0.856566
3     0.764646
4     0.892424
5     0.865657
6     0.886869
7     0.904040
8     0.862626
9     0.948990
10    0.927273
11    0.898485
12    0.944949
13    0.929798
14    0.952020
15    0.922727
16    0.948485
17    0.974747
18    0.966667
19    0.965152
20    0.953030
21    0.941919
22    0.937374
23    0.890909
24    0.956566
25    0.942424
26    0.886364
27    0.950505
28    0.970202
29    0.943434
30    0.949495
31    0.945455
32    0.961111
33    0.969192
34    0.941919
35    0.960606
36    0.933333
37    0.964141
38    0.962626
39    0.965152
40    0.964141
41    0.960101
42    0.941414
43    0.959091
44    0.965152
45    0.968182
46    0.972222
47    0.965657
48    0.965152
49    0.947980

Train Losses:
0     2.888230
1     0.434776
2     0.358293
3     0.339435
4     0.294616
5     0.262261
6     0.223961
7     0.249226
8     0.217701
9     0.211786
10    0.210238
11    0.202262
12    0.181072
13    0.198779
14    0.208229
15    0.153420
16    0.179401
17    0.142633
18    0.157030
19    0.155632
20    0.170991
21    0.174304
22    0.172095
23    0.142620
24    0.133185
25    0.167854
26    0.123492
27    0.128917
28    0.113605
29    0.128729
30    0.132793
31    0.114638
32    0.093319
33    0.129628
34    0.099301
35    0.099671
36    0.113119
37    0.129711
38    0.115582
39    0.091257
40    0.095374
41    0.100418
42    0.097947
43    0.110906
44    0.081552
45    0.077270
46    0.104063
47    0.086041
48    0.092768
49    0.095280

Validation Losses:
0     0.506795
1     0.486534
2     0.364013
3     0.566262
4     0.277782
5     0.390783
6     0.289989
7     0.262464
8     0.315805
9     0.130514
10    0.195866
11    0.259635
12    0.162074
13    0.180860
14    0.127199
15    0.214179
16    0.118144
17    0.080901
18    0.101390
19    0.107566
20    0.153248
21    0.179452
22    0.190163
23    0.310534
24    0.112343
25    0.186282
26    0.300120
27    0.125255
28    0.078356
29    0.150289
30    0.159008
31    0.124420
32    0.099057
33    0.089184
34    0.156642
35    0.123345
36    0.179930
37    0.106881
38    0.126583
39    0.090573
40    0.107140
41    0.116907
42    0.198333
43    0.116894
44    0.099496
45    0.079693
46    0.074156
47    0.097677
48    0.098734
49    0.130431

