Train Accuracies:
0     0.653030
1     0.837121
2     0.850631
3     0.867298
4     0.875758
5     0.901641
6     0.907449
7     0.915404
8     0.916919
9     0.928030
10    0.930051
11    0.928788
12    0.935480
13    0.929419
14    0.936490
15    0.934975
16    0.941288
17    0.938131
18    0.937374
19    0.951263
20    0.942172
21    0.944571
22    0.947348
23    0.940025
24    0.948232
25    0.948106
26    0.946338
27    0.955303
28    0.945581
29    0.952146
30    0.957828
31    0.951263
32    0.955051
33    0.954924
34    0.957071
35    0.961364
36    0.957323
37    0.968813
38    0.962247
39    0.961869
40    0.964015
41    0.956187
42    0.961869
43    0.958207
44    0.966540
45    0.960227
46    0.962753
47    0.976768
48    0.967172
49    0.966035

Validation Accuracies:
0     0.807576
1     0.797980
2     0.905556
3     0.876768
4     0.921212
5     0.891919
6     0.926263
7     0.911616
8     0.902525
9     0.800000
10    0.934848
11    0.878788
12    0.955051
13    0.869192
14    0.954040
15    0.942424
16    0.907071
17    0.935859
18    0.888384
19    0.957071
20    0.911616
21    0.899495
22    0.910606
23    0.940909
24    0.958081
25    0.943434
26    0.959091
27    0.937879
28    0.944949
29    0.925758
30    0.948990
31    0.974242
32    0.948485
33    0.941919
34    0.954545
35    0.937879
36    0.946970
37    0.945960
38    0.968687
39    0.952020
40    0.973737
41    0.943939
42    0.964646
43    0.943434
44    0.974242
45    0.953030
46    0.945960
47    0.976768
48    0.977778
49    0.959596

Train Losses:
0     3.898375
1     0.412063
2     0.388345
3     0.352219
4     0.335868
5     0.267222
6     0.243926
7     0.232290
8     0.216263
9     0.193757
10    0.197641
11    0.192336
12    0.174020
13    0.194633
14    0.180334
15    0.178955
16    0.168380
17    0.165398
18    0.169989
19    0.140321
20    0.168088
21    0.162262
22    0.147495
23    0.156272
24    0.142819
25    0.149493
26    0.150556
27    0.123344
28    0.138420
29    0.139813
30    0.121180
31    0.135467
32    0.129620
33    0.124172
34    0.132197
35    0.112460
36    0.128804
37    0.087329
38    0.102564
39    0.105059
40    0.105588
41    0.122584
42    0.115055
43    0.125411
44    0.095712
45    0.112445
46    0.095583
47    0.067479
48    0.095853
49    0.098875

Validation Losses:
0     0.469043
1     0.509713
2     0.267137
3     0.311551
4     0.214712
5     0.284206
6     0.208877
7     0.228399
8     0.238948
9     0.494922
10    0.171822
11    0.360595
12    0.116375
13    0.383433
14    0.127269
15    0.165529
16    0.327247
17    0.192747
18    0.329874
19    0.128590
20    0.229598
21    0.273656
22    0.238676
23    0.152438
24    0.117882
25    0.162353
26    0.121846
27    0.194907
28    0.141008
29    0.198514
30    0.139801
31    0.078520
32    0.135640
33    0.152032
34    0.109205
35    0.229128
36    0.138660
37    0.173822
38    0.088114
39    0.177178
40    0.078231
41    0.147232
42    0.101240
43    0.153674
44    0.085195
45    0.139957
46    0.151226
47    0.062483
48    0.062075
49    0.138678

