Train Accuracies:
0     0.640404
1     0.787879
2     0.840025
3     0.839141
4     0.862879
5     0.890909
6     0.890025
7     0.901010
8     0.907576
9     0.917929
10    0.918308
11    0.926010
12    0.921970
13    0.936742
14    0.928914
15    0.928283
16    0.940278
17    0.933712
18    0.945960
19    0.945202
20    0.935606
21    0.945960
22    0.940152
23    0.947096
24    0.947096
25    0.942677
26    0.950505
27    0.948737
28    0.946591
29    0.954293
30    0.959091
31    0.953283
32    0.950505
33    0.955556
34    0.946970
35    0.955051
36    0.956944
37    0.965278
38    0.963636
39    0.966414
40    0.960606
41    0.961237
42    0.962500
43    0.963763
44    0.963763
45    0.972096
46    0.972854
47    0.969318
48    0.963636
49    0.967045

Validation Accuracies:
0     0.715657
1     0.830303
2     0.816667
3     0.839394
4     0.849495
5     0.856061
6     0.900505
7     0.901515
8     0.939394
9     0.930303
10    0.856566
11    0.916667
12    0.958081
13    0.943434
14    0.939394
15    0.915657
16    0.939394
17    0.924747
18    0.950505
19    0.929798
20    0.921212
21    0.919697
22    0.950505
23    0.932323
24    0.905556
25    0.933838
26    0.952525
27    0.954545
28    0.939899
29    0.940404
30    0.952525
31    0.944444
32    0.925758
33    0.929798
34    0.943434
35    0.964141
36    0.951515
37    0.961616
38    0.923737
39    0.949495
40    0.938889
41    0.971212
42    0.904545
43    0.945455
44    0.959596
45    0.970707
46    0.936869
47    0.968687
48    0.984343
49    0.947475

Train Losses:
0     3.233270
1     0.522401
2     0.412160
3     0.410145
4     0.354268
5     0.294857
6     0.299423
7     0.268381
8     0.255006
9     0.225212
10    0.225202
11    0.208250
12    0.222393
13    0.178786
14    0.202577
15    0.204578
16    0.169130
17    0.180022
18    0.158088
19    0.163075
20    0.182967
21    0.158667
22    0.182627
23    0.152956
24    0.159142
25    0.168912
26    0.142784
27    0.151996
28    0.153760
29    0.132407
30    0.120617
31    0.145333
32    0.147581
33    0.135088
34    0.147374
35    0.126039
36    0.135641
37    0.099003
38    0.105185
39    0.097374
40    0.113948
41    0.124208
42    0.107292
43    0.104437
44    0.118252
45    0.088623
46    0.083298
47    0.096566
48    0.111002
49    0.095993

Validation Losses:
0     0.750704
1     0.432610
2     0.478478
3     0.432078
4     0.363455
5     0.402440
6     0.327525
7     0.284885
8     0.178826
9     0.189454
10    0.355587
11    0.220010
12    0.123457
13    0.162729
14    0.187599
15    0.223077
16    0.208939
17    0.216160
18    0.138460
19    0.186272
20    0.257020
21    0.227494
22    0.150328
23    0.244477
24    0.257479
25    0.179908
26    0.128902
27    0.146168
28    0.155318
29    0.172097
30    0.137789
31    0.145929
32    0.221761
33    0.206230
34    0.154326
35    0.107696
36    0.120124
37    0.120404
38    0.235692
39    0.139711
40    0.241513
41    0.086852
42    0.266298
43    0.182932
44    0.116169
45    0.092009
46    0.199664
47    0.091070
48    0.056315
49    0.164309

