Train Accuracies:
0     0.681944
1     0.839899
2     0.864141
3     0.881566
4     0.882323
5     0.916919
6     0.918182
7     0.924495
8     0.925253
9     0.921591
10    0.935985
11    0.932828
12    0.936490
13    0.939268
14    0.945202
15    0.940025
16    0.940404
17    0.945076
18    0.943182
19    0.952020
20    0.958838
21    0.952652
22    0.953662
23    0.938763
24    0.959343
25    0.954167
26    0.958838
27    0.957197
28    0.950253
29    0.952273
30    0.948864
31    0.962500
32    0.967551
33    0.963889
34    0.969318
35    0.964520
36    0.962753
37    0.957197
38    0.962121
39    0.962879
40    0.958838
41    0.966035
42    0.966540
43    0.961111
44    0.962626
45    0.961869
46    0.973990
47    0.970581
48    0.971465
49    0.976136

Validation Accuracies:
0     0.777273
1     0.816667
2     0.918687
3     0.894949
4     0.907071
5     0.896465
6     0.894444
7     0.919192
8     0.911616
9     0.887879
10    0.881313
11    0.887374
12    0.964646
13    0.945455
14    0.959091
15    0.965152
16    0.970202
17    0.960606
18    0.929293
19    0.963131
20    0.908586
21    0.934343
22    0.907071
23    0.969192
24    0.972727
25    0.970707
26    0.953535
27    0.949495
28    0.908081
29    0.963131
30    0.939899
31    0.980808
32    0.959596
33    0.979293
34    0.972222
35    0.939899
36    0.952020
37    0.960101
38    0.982828
39    0.965657
40    0.962626
41    0.860606
42    0.935354
43    0.950505
44    0.918687
45    0.966162
46    0.905556
47    0.965152
48    0.969192
49    0.983838

Train Losses:
0     3.785340
1     0.415501
2     0.361089
3     0.319757
4     0.317298
5     0.226547
6     0.233139
7     0.209922
8     0.216634
9     0.226147
10    0.184538
11    0.194777
12    0.181689
13    0.170077
14    0.155591
15    0.173491
16    0.171782
17    0.158127
18    0.162301
19    0.150338
20    0.121610
21    0.128202
22    0.129803
23    0.176834
24    0.114257
25    0.128230
26    0.127480
27    0.121593
28    0.152419
29    0.136289
30    0.140777
31    0.111870
32    0.092411
33    0.109484
34    0.095975
35    0.112367
36    0.120458
37    0.135764
38    0.117305
39    0.118805
40    0.129087
41    0.105347
42    0.100411
43    0.125327
44    0.108782
45    0.120721
46    0.077964
47    0.089389
48    0.090922
49    0.066252

Validation Losses:
0     0.620883
1     0.443249
2     0.218624
3     0.283660
4     0.220082
5     0.275313
6     0.262972
7     0.239173
8     0.216822
9     0.288378
10    0.337680
11    0.386996
12    0.108555
13    0.137089
14    0.113524
15    0.105270
16    0.094950
17    0.104254
18    0.193139
19    0.116035
20    0.221071
21    0.211227
22    0.315301
23    0.077176
24    0.077414
25    0.094799
26    0.167037
27    0.140996
28    0.232098
29    0.099235
30    0.226506
31    0.050717
32    0.117352
33    0.070867
34    0.069777
35    0.228756
36    0.130760
37    0.104712
38    0.050454
39    0.134506
40    0.136004
41    0.358507
42    0.184451
43    0.198307
44    0.216111
45    0.103765
46    0.237905
47    0.112438
48    0.076947
49    0.046831

