Train Accuracies:
0     0.489394
1     0.712247
2     0.743434
3     0.777399
4     0.798864
5     0.809470
6     0.821717
7     0.844318
8     0.850505
9     0.864773
10    0.881818
11    0.890783
12    0.893561
13    0.908081
14    0.916540
15    0.920328
16    0.923990
17    0.925379
18    0.933712
19    0.926894
20    0.941540
21    0.934596
22    0.941793
23    0.949621
24    0.944318
25    0.948106
26    0.945328
27    0.947854
28    0.951894
29    0.959848
30    0.953030
31    0.954293
32    0.958838
33    0.957955
34    0.948611
35    0.960101
36    0.961490
37    0.966919
38    0.965783
39    0.965152
40    0.958333
41    0.965783
42    0.963384
43    0.966540
44    0.969823
45    0.969571
46    0.952904
47    0.969571
48    0.973232
49    0.965278

Validation Accuracies:
0     0.818182
1     0.844444
2     0.802525
3     0.857576
4     0.873737
5     0.863131
6     0.868182
7     0.885859
8     0.922222
9     0.919697
10    0.931313
11    0.924242
12    0.923232
13    0.937374
14    0.943939
15    0.963636
16    0.963636
17    0.957071
18    0.974242
19    0.964646
20    0.972222
21    0.972727
22    0.961111
23    0.975253
24    0.956061
25    0.974747
26    0.924747
27    0.969697
28    0.969192
29    0.974242
30    0.974242
31    0.975758
32    0.969192
33    0.962121
34    0.966667
35    0.967172
36    0.979293
37    0.979293
38    0.968687
39    0.975758
40    0.973737
41    0.970202
42    0.964646
43    0.986364
44    0.972222
45    0.982323
46    0.979293
47    0.958586
48    0.985354
49    0.970202

Train Losses:
0     1.220373
1     0.683431
2     0.615533
3     0.543146
4     0.516781
5     0.476530
6     0.460271
7     0.420738
8     0.408877
9     0.369821
10    0.328162
11    0.299320
12    0.295146
13    0.258795
14    0.242369
15    0.226708
16    0.222300
17    0.219051
18    0.195210
19    0.216345
20    0.174172
21    0.188552
22    0.174688
23    0.151647
24    0.168329
25    0.160315
26    0.163225
27    0.160925
28    0.142029
29    0.131222
30    0.141586
31    0.142722
32    0.129464
33    0.125511
34    0.144023
35    0.118314
36    0.120728
37    0.102948
38    0.108613
39    0.111523
40    0.122957
41    0.104172
42    0.112807
43    0.102808
44    0.095678
45    0.090214
46    0.147471
47    0.097986
48    0.084436
49    0.108914

Validation Losses:
0     0.493428
1     0.394983
2     0.466845
3     0.372811
4     0.336292
5     0.330767
6     0.318796
7     0.283802
8     0.215443
9     0.207966
10    0.188132
11    0.179711
12    0.210453
13    0.162205
14    0.171796
15    0.096684
16    0.105533
17    0.128082
18    0.065147
19    0.104121
20    0.083325
21    0.086131
22    0.129267
23    0.065593
24    0.108927
25    0.068603
26    0.191759
27    0.082250
28    0.080729
29    0.062262
30    0.065074
31    0.062966
32    0.080241
33    0.095164
34    0.088507
35    0.092445
36    0.054060
37    0.057330
38    0.088187
39    0.064758
40    0.073670
41    0.094437
42    0.093473
43    0.034711
44    0.065998
45    0.046706
46    0.065686
47    0.097736
48    0.051848
49    0.069213

