Train Accuracies:
0     0.513763
1     0.716162
2     0.761237
3     0.785985
4     0.805303
5     0.823359
6     0.834848
7     0.851136
8     0.863005
9     0.874621
10    0.885859
11    0.890657
12    0.900884
13    0.914268
14    0.915278
15    0.925379
16    0.932071
17    0.927273
18    0.937626
19    0.937500
20    0.939899
21    0.930934
22    0.943308
23    0.939015
24    0.944697
25    0.945202
26    0.952652
27    0.950505
28    0.951515
29    0.953030
30    0.955682
31    0.954798
32    0.961364
33    0.956313
34    0.956692
35    0.958712
36    0.957702
37    0.959217
38    0.961742
39    0.953030
40    0.966288
41    0.962753
42    0.963636
43    0.972980
44    0.967298
45    0.963763
46    0.967172
47    0.964015
48    0.969192
49    0.964394

Validation Accuracies:
0     0.828788
1     0.876768
2     0.826263
3     0.882828
4     0.886869
5     0.904545
6     0.884343
7     0.893434
8     0.915152
9     0.945455
10    0.959596
11    0.950505
12    0.929798
13    0.960101
14    0.968182
15    0.911616
16    0.964646
17    0.962626
18    0.963131
19    0.930303
20    0.966162
21    0.968687
22    0.976768
23    0.939394
24    0.967677
25    0.964646
26    0.977273
27    0.969192
28    0.970707
29    0.978283
30    0.974747
31    0.969697
32    0.977778
33    0.973737
34    0.953030
35    0.971717
36    0.975758
37    0.983838
38    0.982323
39    0.978283
40    0.971212
41    0.982828
42    0.980303
43    0.968687
44    0.975253
45    0.970202
46    0.983333
47    0.975253
48    0.965152
49    0.961111

Train Losses:
0     1.173804
1     0.665112
2     0.585598
3     0.534122
4     0.489246
5     0.460243
6     0.433678
7     0.391209
8     0.362794
9     0.333362
10    0.317618
11    0.312457
12    0.276411
13    0.243540
14    0.237331
15    0.217971
16    0.205792
17    0.216716
18    0.184882
19    0.190147
20    0.179353
21    0.197025
22    0.170197
23    0.177557
24    0.163293
25    0.163509
26    0.153108
27    0.149880
28    0.143156
29    0.142475
30    0.139511
31    0.132878
32    0.120445
33    0.124486
34    0.140928
35    0.114645
36    0.131234
37    0.121534
38    0.116276
39    0.138871
40    0.111482
41    0.122781
42    0.111972
43    0.092358
44    0.102322
45    0.111396
46    0.101582
47    0.110537
48    0.096365
49    0.105731

Validation Losses:
0     0.484501
1     0.371944
2     0.425505
3     0.323111
4     0.297231
5     0.265613
6     0.287331
7     0.285088
8     0.217727
9     0.163593
10    0.131096
11    0.135102
12    0.157093
13    0.102008
14    0.093561
15    0.219592
16    0.103963
17    0.093859
18    0.085512
19    0.225234
20    0.082551
21    0.086130
22    0.076390
23    0.156604
24    0.079110
25    0.088206
26    0.065179
27    0.083917
28    0.109667
29    0.068038
30    0.075498
31    0.090843
32    0.065376
33    0.074753
34    0.117767
35    0.079923
36    0.072419
37    0.057773
38    0.050890
39    0.076678
40    0.094590
41    0.045551
42    0.052071
43    0.103471
44    0.078916
45    0.096856
46    0.052082
47    0.071976
48    0.094944
49    0.094020

