Train Accuracies:
0     0.475758
1     0.693561
2     0.736616
3     0.774242
4     0.785732
5     0.798864
6     0.817424
7     0.831187
8     0.844444
9     0.857576
10    0.867424
11    0.882576
12    0.892803
13    0.904798
14    0.907071
15    0.908207
16    0.917551
17    0.921717
18    0.922222
19    0.936616
20    0.933586
21    0.930808
22    0.940152
23    0.939520
24    0.950379
25    0.942803
26    0.942803
27    0.950379
28    0.955808
29    0.952146
30    0.945960
31    0.953914
32    0.951263
33    0.961742
34    0.957576
35    0.957702
36    0.962374
37    0.958586
38    0.962247
39    0.957071
40    0.962753
41    0.967677
42    0.963889
43    0.963889
44    0.965025
45    0.965152
46    0.966162
47    0.966035
48    0.967551
49    0.970328

Validation Accuracies:
0     0.856061
1     0.834343
2     0.860606
3     0.863131
4     0.866162
5     0.884343
6     0.891414
7     0.897475
8     0.873232
9     0.893434
10    0.919192
11    0.914141
12    0.947475
13    0.898990
14    0.944444
15    0.952020
16    0.952525
17    0.960101
18    0.943434
19    0.967677
20    0.969192
21    0.969192
22    0.970202
23    0.886364
24    0.963636
25    0.948990
26    0.965152
27    0.971717
28    0.975758
29    0.974747
30    0.975758
31    0.965152
32    0.970202
33    0.974747
34    0.959596
35    0.972222
36    0.974242
37    0.982323
38    0.975253
39    0.972727
40    0.971212
41    0.981818
42    0.973737
43    0.965152
44    0.966667
45    0.982323
46    0.977778
47    0.989394
48    0.970202
49    0.984343

Train Losses:
0     1.279632
1     0.709864
2     0.622562
3     0.550025
4     0.523158
5     0.499390
6     0.472538
7     0.437132
8     0.405676
9     0.373481
10    0.363115
11    0.316830
12    0.296308
13    0.268863
14    0.256368
15    0.246518
16    0.239173
17    0.227206
18    0.216671
19    0.181765
20    0.192846
21    0.198969
22    0.178213
23    0.177629
24    0.151145
25    0.163864
26    0.169284
27    0.153136
28    0.132168
29    0.139692
30    0.157164
31    0.139793
32    0.143909
33    0.113170
34    0.129917
35    0.131321
36    0.120340
37    0.122153
38    0.111019
39    0.133559
40    0.113198
41    0.100386
42    0.107732
43    0.114878
44    0.105364
45    0.110704
46    0.105374
47    0.108836
48    0.095058
49    0.095636

Validation Losses:
0     0.476952
1     0.416743
2     0.369652
3     0.348622
4     0.339659
5     0.305147
6     0.280105
7     0.264885
8     0.330220
9     0.268954
10    0.215140
11    0.213022
12    0.146502
13    0.246182
14    0.143316
15    0.129391
16    0.115983
17    0.108350
18    0.142739
19    0.092470
20    0.090233
21    0.079214
22    0.075387
23    0.286490
24    0.098530
25    0.135459
26    0.087424
27    0.077632
28    0.065518
29    0.072877
30    0.063659
31    0.082542
32    0.078330
33    0.066004
34    0.120700
35    0.086208
36    0.058990
37    0.053250
38    0.062408
39    0.069560
40    0.068212
41    0.053104
42    0.071238
43    0.087898
44    0.090302
45    0.044652
46    0.055385
47    0.036697
48    0.084739
49    0.047646

