Train Accuracies:
0     0.487121
1     0.692803
2     0.745328
3     0.765909
4     0.781313
5     0.797348
6     0.806061
7     0.823864
8     0.830808
9     0.845960
10    0.857071
11    0.866288
12    0.875379
13    0.888258
14    0.903788
15    0.906566
16    0.914646
17    0.911237
18    0.915657
19    0.928662
20    0.924369
21    0.937121
22    0.932828
23    0.933207
24    0.939773
25    0.943182
26    0.941162
27    0.944444
28    0.943056
29    0.950126
30    0.943687
31    0.946338
32    0.957197
33    0.960859
34    0.950631
35    0.954419
36    0.964899
37    0.959343
38    0.958333
39    0.958207
40    0.963131
41    0.962753
42    0.964141
43    0.963258
44    0.963889
45    0.965909
46    0.965278
47    0.965657
48    0.959722
49    0.964646

Validation Accuracies:
0     0.755556
1     0.832828
2     0.875758
3     0.848485
4     0.860606
5     0.854040
6     0.868182
7     0.881818
8     0.908081
9     0.923232
10    0.930808
11    0.911111
12    0.923737
13    0.943939
14    0.953030
15    0.942929
16    0.962121
17    0.954545
18    0.944949
19    0.965152
20    0.960606
21    0.960606
22    0.975253
23    0.966162
24    0.948990
25    0.939899
26    0.970202
27    0.968182
28    0.965657
29    0.980303
30    0.959596
31    0.966667
32    0.973737
33    0.972727
34    0.976768
35    0.967172
36    0.969192
37    0.972222
38    0.970202
39    0.977778
40    0.973737
41    0.967677
42    0.964646
43    0.978788
44    0.980808
45    0.981313
46    0.949495
47    0.951515
48    0.976768
49    0.979293

Train Losses:
0     1.234288
1     0.719302
2     0.629560
3     0.568541
4     0.547430
5     0.518053
6     0.484067
7     0.454890
8     0.433687
9     0.408517
10    0.377490
11    0.362271
12    0.338714
13    0.301404
14    0.277208
15    0.264715
16    0.242694
17    0.245520
18    0.233412
19    0.204940
20    0.206222
21    0.183664
22    0.192537
23    0.185864
24    0.174379
25    0.160309
26    0.167282
27    0.160998
28    0.158364
29    0.139911
30    0.163554
31    0.153290
32    0.128957
33    0.119920
34    0.141970
35    0.140588
36    0.105782
37    0.120767
38    0.122942
39    0.129794
40    0.107976
41    0.113625
42    0.108014
43    0.113701
44    0.109262
45    0.097078
46    0.099730
47    0.107094
48    0.121096
49    0.109139

Validation Losses:
0     0.584553
1     0.457521
2     0.363179
3     0.379531
4     0.357186
5     0.345072
6     0.338683
7     0.296944
8     0.248544
9     0.223549
10    0.187733
11    0.236353
12    0.198958
13    0.154025
14    0.137628
15    0.154915
16    0.104440
17    0.136757
18    0.136322
19    0.096360
20    0.098002
21    0.107765
22    0.071155
23    0.101973
24    0.131862
25    0.162713
26    0.084458
27    0.092227
28    0.092005
29    0.054936
30    0.107844
31    0.096235
32    0.076869
33    0.075470
34    0.062197
35    0.099209
36    0.096359
37    0.072830
38    0.096202
39    0.064855
40    0.064078
41    0.094629
42    0.099067
43    0.068572
44    0.046289
45    0.058173
46    0.129779
47    0.131830
48    0.059695
49    0.063098

