Train Accuracies:
0     0.431692
1     0.671970
2     0.730682
3     0.757323
4     0.774116
5     0.799874
6     0.811995
7     0.811742
8     0.833586
9     0.840152
10    0.838636
11    0.853914
12    0.867424
13    0.873359
14    0.891667
15    0.897348
16    0.906692
17    0.909217
18    0.914646
19    0.925884
20    0.934848
21    0.930934
22    0.940909
23    0.930808
24    0.946591
25    0.942172
26    0.949495
27    0.939015
28    0.946338
29    0.950253
30    0.952399
31    0.953662
32    0.951389
33    0.956313
34    0.956944
35    0.961616
36    0.954545
37    0.959470
38    0.952146
39    0.973485
40    0.963258
41    0.960732
42    0.966414
43    0.969823
44    0.968182
45    0.960985
46    0.964520
47    0.963763
48    0.970328
49    0.968813

Validation Accuracies:
0     0.779798
1     0.818687
2     0.854040
3     0.852525
4     0.871212
5     0.888384
6     0.839899
7     0.878788
8     0.860606
9     0.881313
10    0.876768
11    0.894949
12    0.915152
13    0.940404
14    0.935354
15    0.940404
16    0.938889
17    0.940909
18    0.967172
19    0.962121
20    0.967172
21    0.968182
22    0.967677
23    0.949495
24    0.958586
25    0.963636
26    0.965657
27    0.979293
28    0.962626
29    0.971717
30    0.971717
31    0.962626
32    0.977273
33    0.972727
34    0.965657
35    0.961616
36    0.967172
37    0.927273
38    0.974242
39    0.983838
40    0.978283
41    0.975253
42    0.975758
43    0.971212
44    0.988889
45    0.970707
46    0.973232
47    0.983838
48    0.977778
49    0.978788

Train Losses:
0     1.363565
1     0.760242
2     0.627339
3     0.585521
4     0.548727
5     0.514669
6     0.485109
7     0.477239
8     0.433245
9     0.419308
10    0.413156
11    0.384748
12    0.361092
13    0.337354
14    0.309807
15    0.277755
16    0.271181
17    0.245002
18    0.244680
19    0.218697
20    0.199465
21    0.203820
22    0.181660
23    0.197844
24    0.166655
25    0.174078
26    0.156670
27    0.174177
28    0.161315
29    0.151133
30    0.147400
31    0.134856
32    0.146872
33    0.136244
34    0.127432
35    0.115543
36    0.143523
37    0.125036
38    0.147198
39    0.090164
40    0.114757
41    0.124826
42    0.111438
43    0.095110
44    0.097823
45    0.109019
46    0.103822
47    0.117140
48    0.098740
49    0.093487

Validation Losses:
0     0.593046
1     0.478675
2     0.381950
3     0.377571
4     0.331107
5     0.298291
6     0.389313
7     0.319638
8     0.337490
9     0.311632
10    0.300509
11    0.275011
12    0.225099
13    0.184618
14    0.173004
15    0.160075
16    0.160519
17    0.165833
18    0.109493
19    0.109754
20    0.087521
21    0.095309
22    0.092423
23    0.126073
24    0.112167
25    0.098254
26    0.096583
27    0.068270
28    0.093461
29    0.084665
30    0.079640
31    0.109812
32    0.071251
33    0.072406
34    0.094619
35    0.098679
36    0.094006
37    0.297931
38    0.073214
39    0.046378
40    0.071689
41    0.073375
42    0.072484
43    0.081815
44    0.037108
45    0.077945
46    0.073383
47    0.053872
48    0.073759
49    0.068213

